Fecha;Consecutivo;Balota1;Balota2;Balota3;Balota4;Balota5;Super Balota
22/04/2017;1;15;28;36;37;41;10
26/04/2017;2;1;2;25;31;33;14
29/04/2017;3;6;19;25;28;36;1
3/05/2017;4;5;6;7;12;37;6
6/05/2017;5;1;20;36;39;43;10
10/05/2017;6;35;19;12;38;22;1
13/05/2017;7;11;19;37;27;28;8
17/05/2017;8;15;21;26;28;36;3
20/05/2017;9;1;11;28;31;41;9
24/05/2017;10;7;22;29;32;41;14
27/05/2017;11;8;12;20;36;40;1
31/05/2017;12;12;13;25;31;42;16
3/06/2017;13;3;26;33;34;38;16
7/06/2017;14;3;20;33;34;40;14
10/06/2017;15;13;20;26;29;40;7
14/06/2017;16;2;9;12;34;40;7
17/06/2017;17;9;20;24;31;33;16
21/06/2017;18;4;6;14;17;29;5
24/06/2017;19;3;4;9;20;32;11
28/06/2017;20;18;22;32;37;39;2
1/07/2017;21;10;16;18;35;40;6
5/07/2017;22;20;22;25;37;43;8
8/07/2017;23;1;7;12;19;21;8
12/07/2017;24;7;23;30;33;36;4
15/07/2017;25;7;23;24;34;39;4
19/07/2017;26;14;15;20;25;40;12
22/07/2017;27;6;9;15;37;42;16
26/07/2017;28;1;27;31;34;36;11
29/07/2017;29;3;13;14;17;23;2
2/08/2017;30;1;22;31;32;37;16
5/08/2017;31;14;25;28;37;41;13
9/08/2017;32;4;5;9;13;40;15
12/08/2017;33;15;16;18;19;37;11
16/08/2017;34;6;14;32;34;42;10
19/08/2017;35;1;5;6;13;26;6
23/08/2017;36;13;15;18;26;43;3
26/08/2017;37;1;6;12;18;36;9
30/08/2017;38;4;24;28;36;39;5
2/09/2017;39;1;4;13;23;33;9
6/09/2017;40;8;16;19;35;41;13
9/09/2017;41;1;2;20;31;43;8
13/09/2017;42;7;11;23;41;43;11
16/09/2017;43;10;17;24;37;42;6
20/09/2017;44;10;16;19;23;34;11
23/09/2017;45;4;15;22;23;38;11
27/09/2017;46;1;10;28;35;41;4
30/09/2017;47;3;10;13;21;38;10
4/10/2017;48;24;31;32;33;34;6
7/10/2017;49;19;22;29;38;39;2
11/10/2017;50;2;10;21;23;35;9
14/10/2017;51;18;27;38;40;41;16
18/10/2017;52;17;26;27;28;40;7
21/10/2017;53;2;4;9;15;24;11
25/10/2017;54;11;21;31;32;39;1
28/10/2017;55;13;20;28;35;40;3
1/11/2017;56;22;24;28;34;42;8
4/11/2017;57;15;20;25;29;43;10
8/11/2017;58;2;4;10;17;37;6
11/11/2017;59;1;18;22;30;39;1
15/11/2017;60;11;18;23;32;40;2
18/11/2017;61;8;12;22;29;39;11
22/11/2017;62;9;12;18;37;41;13
25/11/2017;63;15;21;25;26;31;4
29/11/2017;64;2;5;7;9;28;13
2/12/2017;65;2;14;21;27;28;1
6/12/2017;66;3;23;28;29;32;2
9/12/2017;67;11;15;23;24;25;7
13/12/2017;68;11;23;33;36;42;4
16/12/2017;69;17;23;25;29;31;6
20/12/2017;70;8;14;20;22;42;7
23/12/2017;71;6;8;13;29;31;13
27/12/2017;72;2;13;14;26;42;8
30/12/2017;73;14;30;35;37;40;14
3/01/2018;74;1;2;33;34;41;10
6/01/2018;75;1;2;4;5;13;10
10/01/2018;76;1;5;9;29;42;8
13/01/2018;77;7;10;24;31;43;5
17/01/2018;78;6;17;23;27;32;7
20/01/2018;79;2;6;16;23;43;1
24/01/2018;80;6;11;12;17;40;14
27/01/2018;81;12;13;15;18;31;1
31/01/2018;82;12;19;27;28;41;4
3/02/2018;83;1;4;14;21;42;16
7/02/2018;84;4;23;27;29;34;12
10/02/2018;85;5;6;14;16;35;9
14/02/2018;86;9;12;18;32;38;7
17/02/2018;87;10;23;25;26;33;1
21/02/2018;88;18;34;37;39;41;2
24/02/2018;89;5;6;9;39;42;16
28/02/2018;90;7;16;18;37;40;8
3/03/2018;91;15;28;31;32;35;12
7/03/2018;92;8;23;24;32;36;13
10/03/2018;93;4;17;27;28;42;4
14/03/2018;94;6;20;25;27;43;4
17/03/2018;95;7;17;18;30;33;3
21/03/2018;96;10;14;18;20;33;6
24/03/2018;97;17;26;28;29;42;11
28/03/2018;98;3;11;18;24;37;11
31/03/2018;99;9;15;19;27;30;2
4/04/2018;100;4;7;10;36;41;4
7/04/2018;101;13;15;24;33;40;9
11/04/2018;102;7;20;36;42;43;7
14/04/2018;103;1;12;28;30;33;3
18/04/2018;104;3;23;31;35;40;15
21/04/2018;105;10;12;16;17;27;6
25/04/2018;106;14;27;34;37;43;13
28/04/2018;107;10;18;19;36;43;13
2/05/2018;108;7;37;38;39;41;3
5/05/2018;109;5;6;14;26;31;11
9/05/2018;110;11;12;39;40;43;1
12/05/2018;111;6;10;23;31;34;3
16/05/2018;112;13;16;28;34;37;1
17/05/2018;113;13;16;28;34;37;1
19/05/2018;114;12;13;23;35;39;16
23/05/2018;115;8;11;17;23;39;7
26/05/2018;116;9;12;16;18;34;11
30/05/2018;117;6;15;19;27;42;16
2/06/2018;118;3;16;19;20;23;8
6/06/2018;119;1;7;12;26;43;14
9/06/2018;120;1;4;18;21;42;2
13/06/2018;121;2;8;20;25;27;4
16/06/2018;122;3;20;22;24;36;6
20/06/2018;123;7;8;18;25;43;6
23/06/2018;124;11;12;25;33;39;7
27/06/2018;125;16;20;29;33;40;3
30/06/2018;126;3;16;18;30;34;16
4/07/2018;127;5;7;20;34;37;4
7/07/2018;128;8;11;22;35;41;10
11/07/2018;129;6;17;31;32;41;13
14/07/2018;130;4;13;14;16;33;5
18/07/2018;131;21;32;33;34;37;11
21/07/2018;132;12;25;32;33;41;10
25/07/2018;133;2;13;25;36;43;15
28/07/2018;134;2;11;26;33;40;15
1/08/2018;135;2;5;9;11;42;9
4/08/2018;136;6;16;20;24;30;11
8/08/2018;137;5;33;34;41;43;7
11/08/2018;138;2;3;22;28;37;8
15/08/2018;139;1;12;20;39;41;13
18/08/2018;140;6;12;16;21;33;5
22/08/2018;141;10;12;34;35;36;9
25/08/2018;142;3;22;26;29;36;7
29/08/2018;143;17;27;37;38;40;3
1/09/2018;144;3;8;10;15;39;9
5/09/2018;145;4;22;26;29;36;13
8/09/2018;146;8;9;19;23;38;14
12/09/2018;147;3;18;34;42;43;4
15/09/2018;148;2;5;9;34;42;13
19/09/2018;149;8;24;26;33;35;6
22/09/2018;150;20;23;35;36;41;14
26/09/2018;151;2;4;6;7;13;2
29/09/2018;152;10;14;20;21;41;11
3/10/2018;153;5;18;19;25;41;11
6/10/2018;154;8;16;25;36;37;12
10/10/2018;155;19;26;33;34;42;8
13/10/2018;156;11;21;27;41;43;12
17/10/2018;157;5;13;14;35;42;11
20/10/2018;158;19;20;34;38;39;3
24/10/2018;159;1;7;11;16;23;3
27/10/2018;160;6;20;33;36;41;9
31/10/2018;161;8;17;21;25;40;16
3/11/2018;162;9;14;28;33;43;1
7/11/2018;163;8;20;32;36;40;8
10/11/2018;164;5;23;24;29;43;2
14/11/2018;165;11;20;21;23;32;12
17/11/2018;166;10;12;13;32;38;2
21/11/2018;167;1;15;19;21;42;8
24/11/2018;168;5;13;22;34;43;2
28/11/2018;169;2;4;16;30;40;3
1/12/2018;170;3;6;23;25;38;1
5/12/2018;171;1;14;15;18;25;13
8/12/2018;172;14;20;24;25;39;7
12/12/2018;173;4;17;36;37;43;11
15/12/2018;174;4;13;25;31;33;5
19/12/2018;175;15;27;28;41;42;4
22/12/2018;176;3;7;11;39;41;2
26/12/2018;177;9;13;31;33;41;3
29/12/2018;178;10;14;29;30;42;2
2/01/2019;179;9;14;25;26;37;7
5/01/2019;180;10;14;19;39;41;1
9/01/2019;181;5;20;27;30;38;16
12/01/2019;182;2;19;22;28;32;11
16/01/2019;183;6;13;15;26;31;3
19/01/2019;184;8;15;28;38;42;7
23/01/2019;185;7;9;16;24;31;3
26/01/2019;186;3;7;11;19;25;3
30/01/2019;187;16;18;19;21;38;7
2/02/2019;188;16;17;21;22;43;3
6/02/2019;189;1;10;23;38;43;7
9/02/2019;190;3;5;30;37;39;12
13/02/2019;191;1;5;6;8;27;14
16/02/2019;192;19;25;28;31;40;11
20/02/2019;193;3;10;32;40;42;15
23/02/2019;194;3;7;14;19;22;4
27/02/2019;195;6;10;12;18;39;7
2/03/2019;196;6;22;25;28;40;5
6/03/2019;197;2;4;12;18;35;7
9/03/2019;198;24;29;34;35;40;13
13/03/2019;199;6;8;13;14;37;6
16/03/2019;200;5;16;26;32;36;3
20/03/2019;201;6;22;33;36;41;13
23/03/2019;202;18;20;21;35;43;5
27/03/2019;203;3;15;20;23;25;11
30/03/2019;204;6;17;24;39;43;16
3/04/2019;205;3;4;22;40;41;14
6/04/2019;206;20;29;32;34;37;6
10/04/2019;207;15;18;24;34;39;4
13/04/2019;208;6;7;8;27;34;14
17/04/2019;209;3;4;31;34;43;14
20/04/2019;210;10;17;24;29;43;14
24/04/2019;211;4;8;32;34;40;4
27/04/2019;212;1;13;32;37;43;10
1/05/2019;213;1;4;8;19;27;5
4/05/2019;214;4;11;12;16;26;2
8/05/2019;215;1;4;21;30;43;15
11/05/2019;216;3;11;27;39;41;4
15/05/2019;217;3;17;25;39;42;4
18/05/2019;218;3;4;20;25;37;12
22/05/2019;219;9;16;20;28;37;5
25/05/2019;220;2;10;14;34;40;14
26/05/2019;221;2;10;14;34;40;14
29/05/2019;222;1;2;22;29;42;16
1/06/2019;223;1;3;17;23;32;16
5/06/2019;224;1;4;8;22;37;13
8/06/2019;225;10;25;29;35;37;5
12/06/2019;226;3;8;25;28;40;2
15/06/2019;227;10;14;27;35;41;12
19/06/2019;228;4;10;20;32;33;15
22/06/2019;229;15;16;24;26;32;10
26/06/2019;230;6;12;15;26;35;7
29/06/2019;231;2;12;16;26;30;2
3/07/2019;232;1;2;3;10;31;1
6/07/2019;233;1;8;21;34;35;10
10/07/2019;234;9;12;31;33;43;11
13/07/2019;235;2;18;29;37;39;13
17/07/2019;236;6;12;14;15;38;10
20/07/2019;237;10;11;15;31;38;5
24/07/2019;238;3;12;24;25;26;12
27/07/2019;239;9;13;18;19;33;9
31/07/2019;240;10;20;25;28;30;3
3/08/2019;241;2;11;33;36;38;11
7/08/2019;242;6;27;32;40;42;1
10/08/2019;243;6;29;34;41;42;16
14/08/2019;244;7;22;25;36;37;3
17/08/2019;245;10;12;25;27;41;3
21/08/2019;246;6;8;13;28;29;8
24/08/2019;247;4;8;12;17;35;12
28/08/2019;248;11;18;29;35;37;6
31/08/2019;249;17;18;33;41;42;8
4/09/2019;250;2;11;18;23;43;14
7/09/2019;251;11;14;20;30;34;7
11/09/2019;252;6;19;23;25;41;7
