Secuencia;Balota1;Balota2;Balota3;Balota4;Balota5;Super Balota
226;3;5;30;37;39;12
227;3;8;10;15;39;9
228;3;10;20;30;39;11
229;4;6;27;35;39;2
230;4;24;28;36;39;5
231;5;14;28;31;39;10
232;5;29;33;34;39;9
233;6;10;12;18;39;7
234;6;10;14;22;39;14
235;7;23;24;34;39;4
236;8;11;17;23;39;7
237;8;12;22;29;39;11
238;10;15;16;29;39;16
239;11;12;25;33;39;7
240;11;21;31;32;39;1
241;12;13;23;35;39;16
242;12;15;16;38;39;10
243;14;20;24;25;39;7
244;15;18;24;34;39;4
245;18;22;32;37;39;2
246;19;20;34;38;39;3
247;19;22;29;38;39;2
248;22;26;29;30;39;7
249;1;5;8;14;40;8
250;1;8;14;23;40;11
251;1;14;36;37;40;8
252;1;18;19;34;40;2
253;2;4;16;30;40;3
254;2;9;12;34;40;7
255;2;10;14;34;40;14
256;2;10;14;34;40;14
257;2;11;26;33;40;15
258;2;21;27;36;40;15
259;2;23;30;33;40;16
260;3;7;12;13;40;13
261;3;8;25;28;40;2
262;3;20;33;34;40;14
263;3;23;31;35;40;15
264;4;5;9;13;40;15
265;4;8;32;34;40;4
266;4;9;10;35;40;11
267;4;15;31;36;40;6
268;6;11;12;17;40;14
269;6;22;25;28;40;5
270;7;16;18;37;40;8
271;8;11;15;35;40;14
272;8;12;20;36;40;1
273;8;17;21;25;40;16
274;8;20;32;36;40;8
275;9;17;28;31;40;2
276;9;24;25;27;40;6
277;10;16;18;35;40;6
278;11;18;23;32;40;2
279;11;19;29;36;40;7
280;11;20;21;38;40;9
281;12;14;18;37;40;2
282;13;15;24;33;40;9
283;13;20;26;29;40;7
284;13;20;28;35;40;3
285;14;15;20;25;40;12
286;14;30;35;37;40;14
287;16;20;29;33;40;3
288;17;20;26;35;40;13
289;17;24;26;28;40;16
290;17;26;27;28;40;7
291;17;27;37;38;40;3
292;18;24;28;36;40;5
293;19;25;28;31;40;11
294;24;29;34;35;40;13
295;24;30;37;38;40;7
296;1;2;33;34;41;10
297;1;3;8;28;41;15
298;1;5;18;38;41;10
299;1;10;28;35;41;4
300;1;11;28;31;41;9
301;1;12;20;39;41;13
302;2;11;26;32;41;5
303;3;4;22;40;41;14
304;3;7;11;39;41;2
305;3;10;16;25;41;8
306;3;11;27;39;41;4
307;3;30;32;38;41;6
308;4;5;13;16;41;2
309;4;7;10;36;41;4
310;4;13;24;39;41;1
311;5;18;19;25;41;11
312;6;17;31;32;41;13
313;6;19;23;25;41;7
314;6;20;33;36;41;9
315;6;22;33;36;41;13
316;7;14;20;34;41;4
317;7;22;29;32;41;14
318;7;37;38;39;41;3
319;8;11;22;35;41;10
320;8;16;19;35;41;13
321;9;12;18;37;41;13
322;9;13;31;33;41;3
323;10;11;37;40;41;9
324;10;12;25;27;41;3
325;10;14;19;39;41;1
326;10;14;20;21;41;11
327;10;14;27;35;41;12
328;10;15;20;32;41;14
329;12;19;27;28;41;4
330;12;25;32;33;41;10
331;13;22;27;40;41;5
332;13;25;30;36;41;7
333;14;18;20;39;41;5
334;14;25;28;37;41;13
335;15;28;36;37;41;10
336;18;27;38;40;41;16
337;18;34;37;39;41;2
